Method,Slices Accepted,Total Bandwidth,Total Latency,Total Energy
A*,20,7590.0,50.0,23.125
ABO,20,8265.0,54.0,22.9375
FABO,16,6060.0,40.0,22.09375
First Fit,19,9955.0,65.0,21.34375
Best-fit,14,7300.0,48.0,21.8125
MILP (Gurobi),20,300.0,94.0,21.1875
