Method,Slices Accepted,Total Bandwidth,Total Latency,Total Energy
A*,20,2320.0,52.0,37.36375
ABO,20,2630.0,95.0,54.57000000000001
FABO,20,2600.0,92.0,56.57
A* Energy Aware,20,2310.0,52.0,42.84000000000001
First Fit,20,3270.0,97.0,47.06750000000001
Best Fit,20,3160.0,106.0,51.239999999999995
MILP (Gurobi),0,0.0,0.0,0.0
