slice,accepted,g_cost,latency_sum,energy_sum
1,True,1.308,2.0,0.27
2,True,1.308,2.0,0.27
3,True,1.308,2.0,0.27
4,True,1.308,2.0,0.27
5,True,1.308,2.0,0.27
6,True,1.308,2.0,0.27
7,True,1.308,2.0,0.27
8,True,1.308,2.0,0.27
9,True,1.308,2.0,0.27
10,True,1.308,2.0,0.27
11,True,1.308,2.0,0.27
12,True,1.956,3.0,0.39
