timestamp,method,num_slices,num_vnfs_per_slice,seed,u,v,bw_used,bw_capacity,bw_utilization
2026-05-19 13:59:04,ABO,16,2,1,1,2,15.0,1000.0,0.015
2026-05-19 13:59:04,FABO,16,2,1,3,11,15.0,500.0,0.03
2026-05-19 13:59:04,FABO,16,2,1,10,7,15.0,1000.0,0.015
2026-05-19 13:59:04,FABO,16,2,1,7,6,15.0,500.0,0.03
2026-05-19 13:59:04,FABO,16,2,1,2,1,15.0,1000.0,0.015
2026-05-19 13:59:04,FABO,16,2,1,5,8,15.0,1000.0,0.015
2026-05-19 13:59:04,FABO,16,2,1,1,2,45.0,1000.0,0.045
2026-05-19 13:59:04,FABO,16,2,1,2,6,30.0,500.0,0.06
2026-05-19 13:59:04,FABO,16,2,1,9,7,15.0,1000.0,0.015
2026-05-19 13:59:04,FABO,16,2,1,4,2,15.0,500.0,0.03
2026-05-19 13:59:04,FABO,16,2,1,10,12,30.0,1000.0,0.03
2026-05-19 13:59:04,FABO,16,2,1,11,8,30.0,1000.0,0.03
2026-05-19 13:59:04,FABO,16,2,1,8,5,15.0,1000.0,0.015
2026-05-19 13:59:04,FABO,16,2,1,7,9,15.0,1000.0,0.015
2026-05-19 13:59:04,FABO,16,2,1,9,8,15.0,1000.0,0.015
2026-05-19 13:59:04,FABO,16,2,1,4,3,15.0,500.0,0.03
2026-05-19 13:59:04,FABO,16,2,1,8,9,15.0,1000.0,0.015
2026-05-19 13:59:04,FABO,16,2,1,5,6,15.0,500.0,0.03
2026-05-19 13:59:04,Best Fit,16,2,1,3,4,165.0,500.0,0.33
2026-05-19 13:59:04,Best Fit,16,2,1,10,11,60.0,500.0,0.12
2026-05-19 13:59:04,Best Fit,16,2,1,11,3,135.0,500.0,0.27
2026-05-19 13:59:04,Best Fit,16,2,1,2,4,45.0,500.0,0.09
2026-05-19 13:59:04,Best Fit,16,2,1,4,3,75.0,500.0,0.15
2026-05-19 13:59:04,Best Fit,16,2,1,5,4,15.0,500.0,0.03
2026-05-19 13:59:04,Best Fit,16,2,1,8,11,60.0,1000.0,0.06
2026-05-19 13:59:04,Best Fit,16,2,1,7,10,45.0,1000.0,0.045
2026-05-19 13:59:04,Best Fit,16,2,1,1,3,15.0,250.0,0.06
2026-05-19 13:59:04,First Fit,16,2,1,3,1,105.0,250.0,0.42
2026-05-19 13:59:04,First Fit,16,2,1,1,2,240.0,1000.0,0.24
2026-05-19 13:59:04,First Fit,16,2,1,10,11,15.0,500.0,0.03
2026-05-19 13:59:04,First Fit,16,2,1,11,3,90.0,500.0,0.18
2026-05-19 13:59:04,First Fit,16,2,1,2,1,120.0,1000.0,0.12
2026-05-19 13:59:04,First Fit,16,2,1,5,4,15.0,500.0,0.03
2026-05-19 13:59:04,First Fit,16,2,1,4,2,30.0,500.0,0.06
