num_slices,num_vnfs_per_slice,max_accepted_in_scenario,method,total_energy,total_latency,runtime_sec,total_bandwidth,accepted,energy_per_accepted,latency_per_accepted,accepted_round,energy_norm_to_max_accept,gain_energy_norm_vs_worst_%,acceptance_ratio_%,acceptance_gap
4,2,4,Energy-Aware A*,3.763506130918631,5.598644841705935,0.1780204772949218,160.0,4.0,0.9408765327296578,1.3996612104264838,4.0,3.763506130918631,80.80796620340958,100.0,0.0
4,2,4,ABO,4.014056519251644,8.054827546001789,0.1974451541900634,160.0,4.0,1.003514129812911,2.0137068865004473,4.0,4.014056519251644,79.53028221582902,100.0,0.0
4,2,4,A*,4.264056519251644,4.027413773000895,0.0328316688537597,160.0,4.0,1.066014129812911,1.0068534432502239,4.0,4.264056519251644,78.25540493856616,100.0,0.0
4,2,4,First Fit,11.609730635151555,164.1644670084534,0.0024330615997314,1280.0,4.0,2.902432658787889,41.04111675211335,4.0,11.609730635151555,40.79607287241135,100.0,0.0
4,2,4,Best Fit,19.609730635151557,126.14391058609073,0.0015473365783691,1280.0,4.0,4.902432658787889,31.53597764652268,4.0,19.609730635151557,0.0,100.0,0.0
4,2,4,FABO,3.5,4.027413773000895,0.130634069442749,0.0,0.0,,,0.0,inf,-inf,0.0,4.0
4,3,4,Energy-Aware A*,5.967261625636602,24.902574660841232,0.624763011932373,360.0,4.0,1.4918154064091504,6.225643665210308,4.0,5.967261625636602,73.15799681313831,100.0,0.0
4,3,4,ABO,6.780939182899932,13.653472387707724,0.3910114765167236,360.0,4.0,1.695234795724983,3.413368096926931,4.0,6.780939182899932,69.49790329699218,100.0,0.0
4,3,4,A*,8.048509831964484,13.653472387707724,0.0996379852294921,560.0,4.0,2.012127457991121,3.413368096926931,4.0,8.048509831964484,63.79610278340513,100.0,0.0
4,3,4,FABO,8.147497851075787,10.854149966854756,0.3404929637908935,260.0,2.0,4.073748925537894,5.427074983427378,2.0,16.294995702151574,26.70166753072633,50.0,2.0
4,3,4,First Fit,22.2208293523809,244.26448210446517,0.001924991607666,2580.0,4.0,5.555207338095225,61.06612052611629,4.0,22.2208293523809,0.04601612759236111,100.0,0.0
4,3,4,Best Fit,22.23105922495899,243.9622499937514,0.0021252632141113,2700.0,4.0,5.557764806239748,60.99056249843785,4.0,22.23105922495899,0.0,100.0,0.0
4,4,4,Energy-Aware A*,8.23727958487757,34.70592571734002,2.968604803085327,600.0,4.0,2.0593198962193924,8.676481429335006,4.0,8.23727958487757,71.37533777897342,100.0,0.0
4,4,4,ABO,9.800579534246086,30.45185515596551,1.0999250411987305,600.0,4.0,2.4501448835615216,7.612963788991378,4.0,9.800579534246086,65.94284850387655,100.0,0.0
4,4,4,A*,11.06815018331064,30.45185515596551,0.2826216220855713,800.0,4.0,2.76703754582766,7.612963788991378,4.0,11.06815018331064,61.53802269981232,100.0,0.0
4,4,4,FABO,11.290759358573007,22.052663771836617,2.612518548965454,480.0,2.0,5.645379679286504,11.026331885918308,2.0,22.581518717146015,21.52890538002767,50.0,2.0
4,4,4,First Fit,26.786601074618865,232.8722943573474,0.0030891895294189,2620.0,4.0,6.696650268654716,58.21807358933685,4.0,26.786601074618865,6.916185142239654,100.0,0.0
4,4,4,Best Fit,28.776862138225614,258.50995094133845,0.0030193328857421,3350.0,4.0,7.194215534556403,64.62748773533461,4.0,28.776862138225614,0.0,100.0,0.0
6,2,6,ABO,4.521084778877465,12.082241319002684,0.3083891868591308,240.0,6.0,0.7535141298129108,2.0137068865004473,6.0,4.521084778877465,78.86423278074194,100.0,0.0
6,2,6,Energy-Aware A*,6.270396793461199,8.005159495382642,0.2763197422027588,240.0,6.0,1.045066132243533,1.3341932492304405,6.0,6.270396793461199,70.68631678437941,100.0,0.0
6,2,6,A*,6.645809584710959,6.826736193853862,0.0486278533935546,240.0,6.0,1.1076349307851598,1.1377893656423104,6.0,6.645809584710959,68.9312872383604,100.0,0.0
6,2,6,First Fit,13.366768281432453,205.6314494524596,0.0020663738250732,1360.0,6.0,2.2277947135720755,34.2719082420766,6.0,13.366768281432453,37.51125743316316,100.0,0.0
6,2,6,FABO,6.007028259625821,8.054827546001789,0.2366220951080322,80.0,2.0,3.0035141298129107,4.0274137730008945,2.0,18.021084778877466,15.7526408917642,33.33333333333333,4.0
6,2,6,Best Fit,21.390682117079884,187.9185185602072,0.0021486282348632,1640.0,6.0,3.5651136861799806,31.319753093367865,6.0,21.390682117079884,0.0,100.0,0.0
6,3,6,Energy-Aware A*,6.450892438454903,37.35386199126185,0.9428844451904296,540.0,6.0,1.075148739742484,6.225643665210309,6.0,6.450892438454903,84.49719967192615,100.0,0.0
6,3,6,ABO,9.796443173620707,20.87301634873785,0.5839083194732666,540.0,6.0,1.6327405289367845,3.4788360581229747,6.0,9.796443173620707,76.45716404436904,100.0,0.0
6,3,6,A*,10.813446377151363,24.851986192689587,0.137103796005249,740.0,6.0,1.8022410628585606,4.141997698781598,6.0,10.813446377151363,74.01309948310602,100.0,0.0
6,3,6,FABO,9.037967442525751,17.680886160708617,0.5356602668762207,440.0,4.0,2.259491860631438,4.420221540177154,4.0,13.556951163788627,67.41990213682699,66.66666666666666,2.0
6,3,6,First Fit,25.20761690770232,318.13026891543234,0.0030381679534912,3150.0,6.0,4.201269484617053,53.02171148590539,6.0,25.20761690770232,39.420994010514306,100.0,0.0
6,3,6,Best Fit,41.61114316084593,389.2180121847051,0.0028638839721679,3780.0,6.0,6.935190526807655,64.86966869745085,6.0,41.61114316084593,0.0,100.0,0.0
