Method,Slices Accepted,Total Energy,Total Bandwidth,Total Latency,Energy with Routing
A*,8,288,2470,419.0,349.5841728227623
ABO,7,247,2165,503.5,298.7950073876344
FABO,7,256,2170,441.5,302.72487771387995
First Fit,6,248,1890,488.5,279.86301845995234
Best-fit,5,198,1555,385.5,224.5321329409022
