num_slices,num_vnfs_per_slice,max_accepted_in_scenario,method,total_energy,total_latency,runtime_sec,total_bandwidth,accepted,energy_per_accepted,latency_per_accepted,accepted_round,gain_energy_vs_worst_%,gain_latency_vs_worst_%,gain_runtime_vs_worst_%,gain_energy_vs_baseline_%,gain_latency_vs_baseline_%,gain_runtime_vs_baseline_%
4,2,4,Energy-Aware A*,3.763506130918631,5.598644841705935,0.1780204772949218,160.0,4.0,0.9408765327296578,1.3996612104264838,4.0,80.80796620340958,96.58961226888542,9.838011459345891,11.738830995159077,-39.013400590679524,-442.2218349236787
4,2,4,ABO,4.014056519251644,8.054827546001789,0.1974451541900634,160.0,4.0,1.003514129812911,2.0137068865004473,4.0,79.53028221582902,95.0934403206834,0.0,5.862961686161603,-99.99999999999996,-501.3862867267957
4,2,4,A*,4.264056519251644,4.027413773000895,0.0328316688537597,160.0,4.0,1.066014129812911,1.0068534432502239,4.0,78.25540493856616,97.5467201603417,83.37175253125965,0.0,0.0,0.0
4,2,4,First Fit,11.609730635151555,164.1644670084534,0.0024330615997314,1280.0,4.0,2.902432658787889,41.04111675211335,4.0,40.79607287241135,0.0,98.76772787374193,-172.26962360220074,-3976.1758354451777,92.58928441752732
4,2,4,Best Fit,19.609730635151557,126.14391058609073,0.0015473365783691,1280.0,4.0,4.902432658787889,31.53597764652268,4.0,0.0,23.160040120256276,99.21632081338414,-359.88439755937213,-3032.1318765838832,95.28706083976019
4,3,4,Energy-Aware A*,5.967261625636602,24.902574660841232,0.624763011932373,360.0,4.0,1.4918154064091504,6.225643665210308,4.0,73.15799681313831,89.80507749375077,0.0,25.858801812756067,-82.39004667604645,-527.0329638775632
4,3,4,ABO,6.780939182899932,13.653472387707724,0.3910114765167236,360.0,4.0,1.695234795724983,3.413368096926931,4.0,69.49790329699218,94.41037343207822,37.414432505001066,15.74913462900204,0.0,-292.4321388234846
4,3,4,A*,8.048509831964484,13.653472387707724,0.0996379852294921,560.0,4.0,2.012127457991121,3.413368096926931,4.0,63.79610278340513,94.41037343207822,84.05187513881228,0.0,0.0,0.0
4,3,4,First Fit,22.2208293523809,244.26448210446517,0.001924991607666,2580.0,4.0,5.555207338095225,61.06612052611629,4.0,0.04601612759236111,0.0,99.69188451126259,-176.0862546770006,-1689.0282791678508,98.06801431880398
4,3,4,Best Fit,22.23105922495899,243.9622499937514,0.0021252632141113,2700.0,4.0,5.557764806239748,60.99056249843785,4.0,0.0,0.12373150124400961,99.65982889935529,-176.21335736795422,-1686.8146876203564,97.86701506537264
4,4,4,Energy-Aware A*,8.23727958487757,34.70592571734002,2.968604803085327,600.0,4.0,2.0593198962193924,8.676481429335006,4.0,71.37533777897342,86.57462678285233,0.0,25.57672738035,-13.96982397159846,-950.3813477464588
4,4,4,ABO,9.800579534246086,30.45185515596551,1.0999250411987305,600.0,4.0,2.4501448835615216,7.612963788991378,4.0,65.94284850387655,88.22023870064649,62.94808119775467,11.45241642073026,0.0,-289.18644408094815
4,4,4,A*,11.06815018331064,30.45185515596551,0.2826216220855713,800.0,4.0,2.76703754582766,7.612963788991378,4.0,61.53802269981232,88.22023870064649,90.47964815687702,0.0,0.0,0.0
4,4,4,First Fit,26.786601074618865,232.8722943573474,0.0030891895294189,2620.0,4.0,6.696650268654716,58.21807358933685,4.0,6.916185142239654,9.9174737725314,99.89593800002586,-142.01515728445432,-664.7228491159028,98.90695216217973
4,4,4,Best Fit,28.776862138225614,258.50995094133845,0.0030193328857421,3350.0,4.0,7.194215534556403,64.62748773533461,4.0,0.0,0.0,99.89829118100853,-159.99703348457862,-748.9136363526161,98.93166953630042
6,2,6,ABO,4.521084778877465,12.082241319002684,0.3083891868591308,240.0,6.0,0.7535141298129108,2.0137068865004473,6.0,78.86423278074194,94.12432225169137,0.0,31.97089502415984,-76.98415430026978,-534.1821925867828
6,2,6,Energy-Aware A*,6.270396793461199,8.005159495382642,0.2763197422027588,240.0,6.0,1.045066132243533,1.3341932492304405,6.0,70.68631678437941,96.10703541861024,10.399017223331189,5.648864693827778,-17.26188427479766,-468.23347715238384
6,2,6,A*,6.645809584710959,6.826736193853862,0.0486278533935546,240.0,6.0,1.1076349307851598,1.1377893656423104,6.0,68.9312872383604,96.6801108429515,84.23166068537698,0.0,0.0,0.0
6,2,6,First Fit,13.366768281432453,205.6314494524596,0.0020663738250732,1360.0,6.0,2.2277947135720755,34.2719082420766,6.0,37.51125743316316,0.0,99.32994608335048,-101.13077437824009,-2912.1487576682753,95.75063737987848
6,2,6,Best Fit,21.390682117079884,187.9185185602072,0.0021486282348632,1640.0,6.0,3.5651136861799806,31.319753093367865,6.0,0.0,8.613921138725187,99.30327380906364,-221.8672133834574,-2652.6846391016397,95.58148656599349
6,3,6,Energy-Aware A*,6.450892438454903,37.35386199126185,0.9428844451904296,540.0,6.0,1.075148739742484,6.225643665210309,6.0,84.49719967192615,90.40284343944097,0.0,40.34378852531664,-50.30533858195122,-587.7157837076454
6,3,6,ABO,9.796443173620707,20.87301634873785,0.5839083194732666,540.0,6.0,1.6327405289367845,3.4788360581229747,6.0,76.45716404436904,94.63719157508248,38.07212299961767,9.404986791996004,16.010671393026062,-325.88778464668604
6,3,6,A*,10.813446377151363,24.851986192689587,0.137103796005249,740.0,6.0,1.8022410628585606,4.141997698781598,6.0,74.01309948310602,93.61489308955827,85.4591093633368,0.0,0.0,0.0
