Method,Slices Accepted,Total Energy,Total Bandwidth,Total Latency,Energy with Routing
A*,20,612,6135,49,852.083
ABO,21,632,6415,59,887.0989999999999
FABO,17,512,5190,42,707.066
First Fit,19,591,5855,62,821.102
Best-fit,13,420,3985,46,555.078
