timestamp,num_slices,num_vnfs_per_slice,total_vnfs,seed,method,accepted,acceptance_rate,total_energy,total_bandwidth,total_latency,runtime_sec
2026-01-26 15:04:35,4,2,8,1,MILP_Gurobi,4,1.0,3.4325,15.0,4.0,0.029592514038085938
2026-01-26 15:04:35,8,2,16,1,MILP_Gurobi,8,1.0,3.865,15.0,8.0,0.03620553016662598
2026-01-26 15:04:35,16,2,32,1,MILP_Gurobi,16,1.0,4.73,15.0,16.0,0.06683635711669922
2026-01-26 15:04:35,32,2,64,1,MILP_Gurobi,32,1.0,8.399999999999999,45.0,96.0,0.18571066856384277
2026-01-26 15:04:36,64,2,128,1,MILP_Gurobi,33,0.515625,8.50625,0.0,99.0,0.3430812358856201
2026-01-26 15:04:36,128,2,256,1,MILP_Gurobi,33,0.2578125,8.50625,0.0,99.0,0.8415193557739258
2026-01-26 15:04:37,4,3,12,1,MILP_Gurobi,4,1.0,6.0125,35.0,8.0,0.03653883934020996
2026-01-26 15:04:37,8,3,24,1,MILP_Gurobi,8,1.0,7.025,35.0,16.0,0.06164216995239258
2026-01-26 15:04:37,16,3,48,1,MILP_Gurobi,16,1.0,9.030000000000001,50.0,48.0,0.10519766807556152
2026-01-26 15:04:37,32,3,96,1,MILP_Gurobi,32,1.0,15.140000000000002,50.0,96.0,0.5703496932983398
2026-01-26 15:04:38,64,3,192,1,MILP_Gurobi,33,0.515625,16.403125,0.0,98.0,1.2929661273956299
2026-01-26 15:04:39,128,3,384,1,MILP_Gurobi,33,0.2578125,16.403125,0.0,98.0,2.1250855922698975
2026-01-26 15:04:41,4,4,16,1,MILP_Gurobi,4,1.0,8.38,60.0,12.0,0.04416656494140625
2026-01-26 15:04:41,8,4,32,1,MILP_Gurobi,8,1.0,9.76,60.0,24.0,0.07825922966003418
2026-01-26 15:04:41,16,4,64,1,MILP_Gurobi,16,1.0,15.320000000000002,80.0,64.0,0.20829153060913086
2026-01-26 15:04:41,32,4,128,1,MILP_Gurobi,21,0.65625,19.849999999999998,85.0,76.0,0.4176912307739258
2026-01-26 15:04:42,64,4,256,1,MILP_Gurobi,21,0.328125,19.849999999999998,75.0,76.0,0.9336926937103271
2026-01-26 15:04:43,128,4,512,1,MILP_Gurobi,21,0.1640625,19.849999999999998,0.0,76.0,1.7817754745483398
