slice,accepted,g_cost
1,True,325.0
2,True,280.0
3,True,325.0
4,True,320.0
5,True,350.0
6,True,320.0
7,True,280.0
8,True,300.0
9,True,309.6
10,True,344.0
11,True,312.40000000000003
12,True,332.1
13,True,419.0
14,True,615.8
15,True,486.85
16,True,584.2
17,True,861.8
18,False,
19,True,1053.5
20,False,
