Method,Slices Accepted,Total Bandwidth,Total Latency,Total Energy
A*,6,540.0,12.0,19.305
ABO,6,540.0,18.0,17.0175
FABO,6,540.0,18.0,18.017500000000002
A* Energy Aware,6,940.0,20.0,21.880000000000006
First Fit,6,730.0,28.0,16.377499999999998
Best Fit,6,810.0,27.0,24.299999999999997
MILP (Gurobi),6,800.0,18.0,10.55
