method,num_slices,num_vnfs_per_slice,avg_total_energy,std_total_energy,avg_acceptance_rate,avg_energy_per_accepted_slice,avg_runtime_sec
A*,4,2,8.445,0.0,1.0,2.11125,0.03616023063659664
ABO,4,2,3.91,0.0,1.0,0.9775,3.5605932235717774
Best Fit,4,2,4.445,0.0,1.0,1.11125,0.014979791641235298
Energy-Aware A*,4,2,8.445,0.0,1.0,2.11125,0.13245396614074703
FABO,4,2,10.1775,0.0,1.0,2.544375,3.5570361614227295
First Fit,4,2,4.285,0.0,1.0,1.07125,0.0020760059356688997
MILP (Gurobi),4,2,4.445,0.0,1.0,1.11125,0.01870622634887692
A*,6,2,9.1675,0.0,1.0,1.5279166666666668,0.05645904541015621
ABO,6,2,4.365,0.0,1.0,0.7275,5.4564783573150635
Best Fit,6,2,7.167500000000001,0.0,1.0,1.1945833333333333,0.022144556045532178
Energy-Aware A*,6,2,9.1675,0.0,1.0,1.5279166666666668,0.14498276710510252
FABO,6,2,15.007499999999999,0.0,1.0,2.50125,5.379176425933838
First Fit,6,2,7.167500000000001,0.0,1.0,1.1945833333333333,0.00301003456115718
MILP (Gurobi),6,2,6.762500000000001,0.0,1.0,1.1270833333333334,0.0634235858917236
A*,8,2,9.89,0.0,1.0,1.23625,0.07173957824707025
ABO,8,2,4.82,0.0,1.0,0.6025,7.061358880996704
Best Fit,8,2,7.890000000000001,0.0,1.0,0.9862500000000001,0.02760362625122064
Energy-Aware A*,8,2,9.89,0.0,1.0,1.23625,0.19405260086059567
FABO,8,2,17.542499999999997,0.0,1.0,2.1928124999999996,7.128657388687134
First Fit,8,2,8.05,0.0,1.0,1.00625,0.00381250381469724
MILP (Gurobi),8,2,7.35,0.0,1.0,0.91875,0.05549411773681636
A*,10,2,10.6125,0.0,1.0,1.06125,0.08911571502685542
ABO,10,2,10.5425,0.0,1.0,1.0542500000000001,8.50671215057373
Best Fit,10,2,10.6125,0.0,1.0,1.06125,0.03372340202331538
Energy-Aware A*,10,2,10.6125,0.0,1.0,1.06125,0.2426908493041992
FABO,10,2,20.184999999999995,0.0,1.0,2.0184999999999995,8.914777088165284
First Fit,10,2,10.8525,0.0,1.0,1.0852499999999998,0.0046847820281982
MILP (Gurobi),10,2,7.9375,0.0,1.0,0.79375,0.05285916328430172
A*,12,2,11.335,0.0,1.0,0.9445833333333334,0.09944858551025389
ABO,12,2,13.372499999999999,0.0,1.0,1.1143750000000001,9.926686763763428
Best Fit,12,2,11.335,0.0,1.0,0.9445833333333334,0.03925433158874506
Energy-Aware A*,12,2,11.335,0.0,1.0,0.9445833333333334,0.2759708881378174
FABO,12,2,20.72,0.0,1.0,1.7266666666666666,10.67589030265808
First Fit,12,2,11.655,0.0,1.0,0.9712499999999998,0.00548853874206538
MILP (Gurobi),12,2,8.524999999999999,0.0,1.0,0.7104166666666666,0.05570015907287592
A*,16,2,14.190000000000001,0.0,1.0,0.8868750000000001,0.14227032661437983
ABO,16,2,16.737499999999997,0.0,1.0,1.0460937499999998,12.86148157119751
Best Fit,16,2,14.190000000000001,0.0,1.0,0.8868750000000001,0.050155782699584914
Energy-Aware A*,16,2,14.190000000000001,0.0,1.0,0.8868750000000001,0.3899981498718262
FABO,16,2,22.004999999999995,0.0,1.0,1.3753124999999997,14.526549100875854
First Fit,16,2,17.205000000000002,0.0,1.0,1.0753125000000001,0.00797376632690426
MILP (Gurobi),16,2,0.0,0.0,0.0,,6.018313264846801
A*,18,2,14.617500000000001,0.0,1.0,0.8120833333333334,0.16006855964660643
ABO,18,2,17.272499999999997,0.0,1.0,0.9595833333333331,13.676642036437988
Best Fit,18,2,14.617500000000001,0.0,1.0,0.8120833333333334,0.05475945472717277
Energy-Aware A*,18,2,14.617500000000001,0.0,1.0,0.8120833333333334,0.4428060054779053
FABO,18,2,22.834999999999997,0.0,1.0,1.268611111111111,15.99831519126892
First Fit,18,2,17.980000000000004,0.0,1.0,0.998888888888889,0.00892190933227534
MILP (Gurobi),18,2,0.0,0.0,0.0,,7.4047040939331055
A*,20,2,15.045000000000002,0.0,1.0,0.7522500000000001,0.17355179786682123
ABO,20,2,20.1025,0.0,1.0,1.005125,14.718877601623536
Best Fit,20,2,15.045000000000002,0.0,1.0,0.7522500000000001,0.060483121871948174
