slice,accepted,g_cost
1,True,315.0
2,True,300.0
3,True,290.0
4,True,315.0
5,True,315.0
6,True,350.0
7,True,325.0
8,True,331.0
9,True,321.0
10,True,339.20000000000005
11,True,322.0
12,True,528.0
13,True,416.4
14,True,1098.7
15,True,391.2
16,True,459.2
17,False,
18,False,
19,False,
20,False,
