timestamp          , method     , num_slices, num_vnfs_per_slice, seed, node, cpu_used, cpu_capacity, cpu_utilization, num_hosted_vnfs, num_unknown_cpu_vnfs
2026-02-18 09:15:31, MILP_Gurobi,         32,                  3,    1,   11,      0.0,         64.0,        0.0     ,               0,                    0
2026-02-18 09:15:31, MILP_Gurobi,         32,                  3,    1,   12,      0.0,         16.0,        0.0     ,               0,                    0
2026-02-18 09:15:33, FABO       ,         32,                  4,    1,    1,     14.0,         64.0,        0.21875 ,              14,                    0
2026-02-18 09:15:33, FABO       ,         32,                  4,    1,    2,     15.0,         16.0,        0.9375  ,              15,                    0
2026-02-18 09:15:33, FABO       ,         32,                  4,    1,    3,      7.0,         16.0,        0.4375  ,               7,                    0
2026-02-18 09:15:33, FABO       ,         32,                  4,    1,    4,      8.0,         16.0,        0.5     ,               8,                    0
2026-02-18 09:15:33, FABO       ,         32,                  4,    1,    5,     10.0,         16.0,        0.625   ,              10,                    0
2026-02-18 09:15:33, FABO       ,         32,                  4,    1,    6,     13.0,         64.0,        0.203125,              13,                    0
2026-02-18 09:15:33, FABO       ,         32,                  4,    1,    7,     16.0,         16.0,        1.0     ,              16,                    0
2026-02-18 09:15:33, FABO       ,         32,                  4,    1,    8,     12.0,         16.0,        0.75    ,              12,                    0
2026-02-18 09:15:33, FABO       ,         32,                  4,    1,    9,     10.0,         16.0,        0.625   ,              10,                    0
2026-02-18 09:15:33, FABO       ,         32,                  4,    1,   10,      5.0,         16.0,        0.3125  ,               5,                    0
2026-02-18 09:15:33, FABO       ,         32,                  4,    1,   11,     13.0,         64.0,        0.203125,              13,                    0
2026-02-18 09:15:33, FABO       ,         32,                  4,    1,   12,      5.0,         16.0,        0.3125  ,               5,                    0
2026-02-18 09:15:33, MILP_Gurobi,         32,                  4,    1,    1,     32.0,         64.0,        0.5     ,              32,                    0
2026-02-18 09:15:33, MILP_Gurobi,         32,                  4,    1,    2,      3.0,         16.0,        0.1875  ,               3,                    0
2026-02-18 09:15:33, MILP_Gurobi,         32,                  4,    1,    3,      0.0,         16.0,        0.0     ,               0,                    0
2026-02-18 09:15:33, MILP_Gurobi,         32,                  4,    1,    4,      0.0,         16.0,        0.0     ,               0,                    0
2026-02-18 09:15:33, MILP_Gurobi,         32,                  4,    1,    5,      0.0,         16.0,        0.0     ,               0,                    0
2026-02-18 09:15:33, MILP_Gurobi,         32,                  4,    1,    6,     32.0,         64.0,        0.5     ,              32,                    0
2026-02-18 09:15:33, MILP_Gurobi,         32,                  4,    1,    7,     16.0,         16.0,        1.0     ,              16,                    0
2026-02-18 09:15:33, MILP_Gurobi,         32,                  4,    1,    8,     16.0,         16.0,        1.0     ,              16,                    0
2026-02-18 09:15:33, MILP_Gurobi,         32,                  4,    1,    9,      0.0,         16.0,        0.0     ,               0,                    0
2026-02-18 09:15:33, MILP_Gurobi,         32,                  4,    1,   10,      0.0,         16.0,        0.0     ,               0,                    0
2026-02-18 09:15:33, MILP_Gurobi,         32,                  4,    1,   11,     29.0,         64.0,        0.453125,              29,                    0
2026-02-18 09:15:33, MILP_Gurobi,         32,                  4,    1,   12,      0.0,         16.0,        0.0     ,               0,                    0
2026-02-18 09:15:45, FABO       ,         32,                  5,    1,    1,     13.0,         64.0,        0.203125,              13,                    0
2026-02-18 09:15:45, FABO       ,         32,                  5,    1,    2,     16.0,         16.0,        1.0     ,              16,                    0
2026-02-18 09:15:45, FABO       ,         32,                  5,    1,    3,      9.0,         16.0,        0.5625  ,               9,                    0
2026-02-18 09:15:45, FABO       ,         32,                  5,    1,    4,     11.0,         16.0,        0.6875  ,              11,                    0
2026-02-18 09:15:45, FABO       ,         32,                  5,    1,    5,     13.0,         16.0,        0.8125  ,              13,                    0
2026-02-18 09:15:45, FABO       ,         32,                  5,    1,    6,     18.0,         64.0,        0.28125 ,              18,                    0
2026-02-18 09:15:45, FABO       ,         32,                  5,    1,    7,     16.0,         16.0,        1.0     ,              16,                    0
2026-02-18 09:15:45, FABO       ,         32,                  5,    1,    8,     16.0,         16.0,        1.0     ,              16,                    0
2026-02-18 09:15:45, FABO       ,         32,                  5,    1,    9,     13.0,         16.0,        0.8125  ,              13,                    0
2026-02-18 09:15:45, FABO       ,         32,                  5,    1,   10,     12.0,         16.0,        0.75    ,              12,                    0
2026-02-18 09:15:45, FABO       ,         32,                  5,    1,   11,     17.0,         64.0,        0.265625,              17,                    0
2026-02-18 09:15:45, FABO       ,         32,                  5,    1,   12,      6.0,         16.0,        0.375   ,               6,                    0
2026-02-18 09:15:45, MILP_Gurobi,         32,                  5,    1,    1,     32.0,         64.0,        0.5     ,              32,                    0
2026-02-18 09:15:45, MILP_Gurobi,         32,                  5,    1,    2,      0.0,         16.0,        0.0     ,               0,                    0
2026-02-18 09:15:45, MILP_Gurobi,         32,                  5,    1,    3,      0.0,         16.0,        0.0     ,               0,                    0
2026-02-18 09:15:45, MILP_Gurobi,         32,                  5,    1,    4,      0.0,         16.0,        0.0     ,               0,                    0
2026-02-18 09:15:45, MILP_Gurobi,         32,                  5,    1,    5,      0.0,         16.0,        0.0     ,               0,                    0
