Method,Slices Accepted,Total Bandwidth,Total Latency,Total Energy
A*,12,1130.0,25.0,28.228750000000005
ABO,12,1230.0,41.0,35.228750000000005
FABO,12,1280.0,42.0,36.235
A* Energy Aware,12,1880.0,40.0,25.759999999999994
First Fit,12,1700.0,62.0,30.646250000000006
Best Fit,12,1440.0,54.0,36.88
MILP (Gurobi),12,1500.0,34.0,19.502499999999998
