slice,accepted,g_cost
1,True,5.0
2,True,5.0
3,True,4.0
4,True,4.0
5,True,5.0
6,True,5.0
7,True,6.0
8,True,5.0
9,True,5.0
10,True,6.0
11,True,6.0
12,True,6.0
13,True,2.0
14,True,5.0
15,True,3.0
16,True,5.0
17,True,5.0
18,True,5.0
19,True,5.0
20,True,5.0
