timestamp          , num_slices, num_vnfs_per_slice, total_vnfs, seed, entry_node, entry_nodes_used                                                                                                                                   , method         , accepted, total_energy, total_bandwidth, total_latency, runtime_sec
2026-04-08 09:14:57,          4,                  2,          8,    1,           , "3,10,2,5"                                                                                                                                         , A*             ,        4,          0.0,            60.0,           4.0,  0.026670217514038086
2026-04-08 09:14:57,          4,                  2,          8,    1,           , "3,10,2,5"                                                                                                                                         , ABO            ,        4,          0.0,            75.0,           6.0,  0.004408597946166992
2026-04-08 09:14:57,          4,                  2,          8,    1,           , "3,10,2,5"                                                                                                                                         , FABO           ,        4,          0.0,            60.0,           5.0,  0.006937503814697266
2026-04-08 09:14:57,          4,                  2,          8,    1,           , "3,10,2,5"                                                                                                                                         , Best Fit       ,        4,          0.0,           120.0,           8.0,  0.028421878814697266
2026-04-08 09:14:57,          4,                  2,          8,    1,           , "3,10,2,5"                                                                                                                                         , First Fit      ,        4,          0.0,           120.0,          12.0,  0.0032689571380615234
2026-04-08 09:14:57,          4,                  2,          8,    1,           , "3,10,2,5"                                                                                                                                         , Energy-Aware A*,        4,          0.0,           120.0,          16.0,  0.02966785430908203
2026-04-08 09:14:57,          4,                  2,          8,    1,           , "3,10,2,5"                                                                                                                                         , MILP_Gurobi    ,        4,          0.0,           105.0,           9.0,  1.2558636665344238
2026-04-08 09:14:59,          8,                  2,         16,    1,           , "3,10,2,5,2,8,8,8"                                                                                                                                 , A*             ,        8,          0.0,           120.0,           8.0,  0.04353785514831543
2026-04-08 09:14:59,          8,                  2,         16,    1,           , "3,10,2,5,2,8,8,8"                                                                                                                                 , ABO            ,        8,          0.0,           135.0,          11.0,  0.0060117244720458984
2026-04-08 09:14:59,          8,                  2,         16,    1,           , "3,10,2,5,2,8,8,8"                                                                                                                                 , FABO           ,        8,          0.0,           120.0,          17.0,  0.01174163818359375
2026-04-08 09:14:59,          8,                  2,         16,    1,           , "3,10,2,5,2,8,8,8"                                                                                                                                 , Best Fit       ,        8,          0.0,           240.0,          19.0,  0.03396177291870117
2026-04-08 09:14:59,          8,                  2,         16,    1,           , "3,10,2,5,2,8,8,8"                                                                                                                                 , First Fit      ,        8,          0.0,           240.0,          26.0,  0.002724885940551758
2026-04-08 09:14:59,          8,                  2,         16,    1,           , "3,10,2,5,2,8,8,8"                                                                                                                                 , Energy-Aware A*,        8,          0.0,           240.0,          30.0,  0.1873493194580078
2026-04-08 09:14:59,          8,                  2,         16,    1,           , "3,10,2,5,2,8,8,8"                                                                                                                                 , MILP_Gurobi    ,        8,          0.0,           195.0,          17.0,  4.6207194328308105
2026-04-08 09:15:04,         16,                  2,         32,    1,           , "3,10,2,5,2,8,8,8,11,7,4,2,8,1,7,7"                                                                                                                , A*             ,       16,          0.0,           240.0,          16.0,  0.04289436340332031
2026-04-08 09:15:04,         16,                  2,         32,    1,           , "3,10,2,5,2,8,8,8,11,7,4,2,8,1,7,7"                                                                                                                , ABO            ,       16,          0.0,           315.0,          27.0,  0.007028102874755859
2026-04-08 09:15:04,         16,                  2,         32,    1,           , "3,10,2,5,2,8,8,8,11,7,4,2,8,1,7,7"                                                                                                                , FABO           ,       16,          0.0,           240.0,          35.0,  0.013056755065917969
2026-04-08 09:15:04,         16,                  2,         32,    1,           , "3,10,2,5,2,8,8,8,11,7,4,2,8,1,7,7"                                                                                                                , Best Fit       ,       16,          0.0,           480.0,          41.0,  0.05094647407531738
2026-04-08 09:15:04,         16,                  2,         32,    1,           , "3,10,2,5,2,8,8,8,11,7,4,2,8,1,7,7"                                                                                                                , First Fit      ,       16,          0.0,           480.0,          51.0,  0.005185365676879883
2026-04-08 09:15:04,         16,                  2,         32,    1,           , "3,10,2,5,2,8,8,8,11,7,4,2,8,1,7,7"                                                                                                                , Energy-Aware A*,       16,          0.0,           450.0,          56.0,  0.08445286750793457
2026-04-08 09:15:04,         16,                  2,         32,    1,           , "3,10,2,5,2,8,8,8,11,7,4,2,8,1,7,7"                                                                                                                , MILP_Gurobi    ,       16,          0.0,           405.0,          37.0, 30.146854639053345
