Method,Slices Accepted,Total Bandwidth,Total Latency,Total Energy
A*,12,1680.0,40.81148909352612,7.050764854821405
ABO,12,1080.0,40.81148909352612,5.938282372577439
FABO,0,480.0,24.164482638005367,4.96042222230528
A* Energy Aware,12,1080.0,74.61608449686251,7.835105909300954
First Fit,12,8040.0,739.5158849748989,19.705311811641426
Best Fit,12,7020.0,652.9353196271459,26.95753313815506
MILP (Gurobi),12,1080.0,67.89526474910019,5.914458468548957
