method,accepted,total_energy,total_latency,runtime_sec,energy_per_accepted,latency_per_accepted,gain_energy_vs_worst_%,gain_latency_vs_worst_%,gain_runtime_vs_worst_%,gain_energy_vs_baseline_%,gain_latency_vs_baseline_%,gain_runtime_vs_baseline_%
A*,20.0,37.36375,52.0,0.2813386917114258,1.8681875000000001,2.6,33.95129927523422,50.943396226415096,98.54642618820624,0.0,0.0,0.0
Energy-Aware A*,20.0,44.688750000000006,70.0,1.0040795803070068,2.2344375000000003,3.5,21.002739968181004,33.9622641509434,94.81228915222162,-19.60456324646215,-34.61538461538461,-256.89352722835207
First Fit,20.0,47.06750000000001,97.0,0.0078635215759277,2.3533750000000007,4.85,16.79777267102703,8.49056603773585,99.95937206872716,-25.971028068649442,-86.53846153846155,97.2049626277521
Best Fit,20.0,51.24,106.0,0.0074975490570068,2.5620000000000003,5.3,9.421955099876255,0.0,99.96126291447646,-37.1382690441939,-103.84615384615385,97.33504516872597
ABO,20.0,54.57000000000001,95.0,19.35496425628662,2.7285000000000004,4.75,3.5354428142124674,10.377358490566039,0.0,-46.05065069753439,-82.6923076923077,-6779.595600074575
FABO,20.0,56.57,92.0,19.11073327064514,2.8285,4.6,0.0,13.20754716981132,1.2618519073841825,-51.40343247131243,-76.92307692307693,-6692.785291774716
