num_slices,num_vnfs_per_slice,max_accepted_in_scenario,method,total_energy,total_latency,runtime_sec,total_bandwidth,accepted,energy_per_accepted,latency_per_accepted,accepted_round,energy_norm_to_max_accept,gain_energy_norm_vs_worst_%,acceptance_ratio_%,acceptance_gap
10,2,10,Energy-Aware A*,10.337500000000002,25.0,0.0780861377716064,1000.0,10.0,1.0337500000000002,2.5,10.0,10.337500000000002,48.7862273965816,100.0,0.0
10,2,10,ABO,10.5425,20.0,3.762256383895874,400.0,10.0,1.0542500000000001,2.0,10.0,10.5425,47.770621748823366,100.0,0.0
10,2,10,A*,10.6125,10.0,0.034651756286621,400.0,10.0,1.06125,1.0,10.0,10.6125,47.423829576418115,100.0,0.0
10,2,10,First Fit,10.8525,32.0,0.0034825801849365,480.0,10.0,1.0852499999999998,3.2,10.0,10.8525,46.23482784245726,100.0,0.0
10,2,10,Best Fit,16.15,32.0,0.0022757053375244,600.0,10.0,1.6149999999999998,3.2,10.0,16.15,19.990091652216982,100.0,0.0
10,2,10,FABO,20.184999999999995,20.0,4.354653358459473,400.0,10.0,2.0184999999999995,2.0,10.0,20.184999999999995,0.0,100.0,0.0
10,3,10,Energy-Aware A*,24.45,33.0,0.703587532043457,1550.0,10.0,2.445,3.3,10.0,24.45,30.361720307604656,100.0,0.0
10,3,10,A*,24.8875,20.0,0.1762783527374267,900.0,10.0,2.48875,2.0,10.0,24.8875,29.115636570777543,100.0,0.0
10,3,10,First Fit,27.168750000000003,50.0,0.0032610893249511,1340.0,10.0,2.7168750000000004,5.0,10.0,27.168750000000003,22.618199943036146,100.0,0.0
10,3,10,ABO,27.867500000000003,32.0,14.418129205703735,1000.0,10.0,2.7867500000000005,3.2,10.0,27.867500000000003,20.62802620336084,100.0,0.0
10,3,10,FABO,29.83,33.0,12.268972635269163,1050.0,10.0,2.9829999999999997,3.3,10.0,29.83,15.038450583879223,100.0,0.0
10,3,10,Best Fit,35.10999999999999,45.0,0.0029795169830322,1260.0,10.0,3.5109999999999992,4.5,10.0,35.10999999999999,0.0,100.0,0.0
12,2,12,Energy-Aware A*,10.805,30.0,0.0912511348724365,1200.0,12.0,0.9004166666666666,2.5,12.0,10.805,51.54708520179373,100.0,0.0
12,2,12,A*,11.335,12.0,0.0501205921173095,480.0,12.0,0.9445833333333334,1.0,12.0,11.335,49.17040358744394,100.0,0.0
12,2,12,First Fit,11.655,40.0,0.0025286674499511,640.0,12.0,0.97125,3.3333333333333335,12.0,11.655,47.73542600896861,100.0,0.0
12,2,12,ABO,13.3725,24.0,5.007271766662598,480.0,12.0,1.1143750000000001,2.0,12.0,13.3725,40.03363228699551,100.0,0.0
12,2,12,FABO,20.72,24.0,5.313950777053833,480.0,12.0,1.7266666666666666,2.0,12.0,20.72,7.08520179372198,100.0,0.0
12,2,12,Best Fit,22.3,40.0,0.0029051303863525,800.0,12.0,1.8583333333333334,3.3333333333333335,12.0,22.3,0.0,100.0,0.0
12,3,12,Energy-Aware A*,25.759999999999994,40.0,0.6621122360229492,1880.0,12.0,2.146666666666666,3.3333333333333335,12.0,25.759999999999994,30.151843817787437,100.0,0.0
12,3,12,A*,28.228750000000005,25.0,0.197645902633667,1130.0,12.0,2.352395833333334,2.0833333333333335,12.0,28.228750000000005,23.45783622559652,100.0,0.0
12,3,12,First Fit,30.64625000000001,62.0,0.0036818981170654,1700.0,12.0,2.5538541666666674,5.166666666666667,12.0,30.64625000000001,16.90279284164857,100.0,0.0
12,3,12,ABO,35.228750000000005,41.0,16.262933254241943,1230.0,12.0,2.935729166666667,3.4166666666666665,12.0,35.228750000000005,4.47735900216919,100.0,0.0
12,3,12,FABO,36.235,42.0,13.989255905151367,1280.0,12.0,3.0195833333333333,3.5,12.0,36.235,1.748915401301527,100.0,0.0
12,3,12,Best Fit,36.88,54.0,0.0036721229553222,1440.0,12.0,3.0733333333333337,4.5,12.0,36.88,0.0,100.0,0.0
18,2,18,Energy-Aware A*,12.2075,45.0,0.1377294063568115,1800.0,18.0,0.6781944444444444,2.5,18.0,12.2075,60.65903963905897,100.0,0.0
18,2,18,A*,14.6175,24.0,0.0673003196716308,960.0,18.0,0.8120833333333333,1.3333333333333333,18.0,14.6175,52.892362230099884,100.0,0.0
18,2,18,ABO,17.272499999999997,36.0,6.935059309005737,720.0,18.0,0.9595833333333332,2.0,18.0,17.272499999999997,44.33612632935867,100.0,0.0
18,2,18,First Fit,17.980000000000004,64.0,0.0044741630554199,1360.0,18.0,0.9988888888888892,3.5555555555555554,18.0,17.980000000000004,42.0560747663551,100.0,0.0
18,2,18,FABO,22.834999999999997,36.0,8.128777265548706,720.0,18.0,1.268611111111111,2.0,18.0,22.834999999999997,26.409925878182385,100.0,0.0
18,2,18,Best Fit,31.029999999999987,54.0,0.00407075881958,1040.0,18.0,1.7238888888888881,3.0,18.0,31.029999999999987,0.0,100.0,0.0
