num_slices,num_vnfs_per_slice,max_accepted_in_scenario,method,total_energy,total_latency,runtime_sec,total_bandwidth,accepted,energy_per_accepted,latency_per_accepted,accepted_round,gain_energy_vs_worst_%,gain_latency_vs_worst_%,gain_runtime_vs_worst_%,gain_energy_vs_baseline_%,gain_latency_vs_baseline_%,gain_runtime_vs_baseline_%
4,2,4,ABO,3.91,8.0,1.6948468685150146,160.0,4.0,0.9775,2.0,4.0,61.5819209039548,50.0,1.8654217637048682,53.700414446418,-100.0,-12292.056131787704
4,2,4,First Fit,4.285,12.0,0.0009126663208007,160.0,4.0,1.07125,3.0,4.0,57.89732252517808,25.0,99.94715503440099,49.2599171107164,-200.0,93.32694151486156
4,2,4,Best Fit,8.3,16.0,0.0011749267578125,320.0,4.0,2.075,4.0,4.0,18.447555883075406,0.0,99.93196969945876,1.7169923031379466,-300.0,91.40939597315435
4,2,4,A*,8.445,4.0,0.0136768817901611,160.0,4.0,2.11125,1.0,4.0,17.022844509948413,75.0,99.20808478276206,0.0,0.0,0.0
4,2,4,Energy-Aware A*,8.935,10.0,0.0395295619964599,400.0,4.0,2.23375,2.5,4.0,12.20830262834684,37.5,97.71116968355557,-5.802249851983424,-150.0,-189.02466660855947
4,2,4,FABO,10.1775,8.0,1.7270638942718506,160.0,4.0,2.544375,2.0,4.0,0.0,50.0,0.0,-20.515097690941385,-100.0,-12527.614399023825
4,3,4,First Fit,11.485,18.0,0.0012366771697998,460.0,4.0,2.87125,4.5,4.0,34.6328969834946,0.0,99.9808729459159,26.76550294914714,-125.0,98.25496311099
4,3,4,Best Fit,13.26,18.0,0.0013020038604736,540.0,4.0,3.315,4.5,4.0,24.530449630051226,0.0,99.97986257136047,15.447154471544714,-125.0,98.16278263912022
4,3,4,FABO,15.1575,12.0,6.465591430664063,360.0,4.0,3.789375,3.0,4.0,13.730791121229366,33.33333333333333,0.0,3.347680535628877,-50.0,-9023.39600932571
4,3,4,ABO,15.345,12.0,6.358142375946045,360.0,4.0,3.83625,3.0,4.0,12.663631189527603,33.33333333333333,1.66185964378177,2.1520803443328465,-50.0,-8871.777972904329
4,3,4,A*,15.6825,8.0,0.0708682537078857,360.0,4.0,3.920625,2.0,4.0,10.742743312464434,55.55555555555556,98.90391691977656,0.0,0.0,0.0
