timestamp,method,num_slices,num_vnfs_per_slice,seed,node,cpu_used,cpu_capacity,cpu_utilization,cpu_utilization_pct,num_hosted_vnfs,num_unknown_cpu_vnfs
2026-01-06 09:42:23,First Fit,2,2,1,12,0.0,16.0,0.0,0.0,0,0
2026-01-06 09:42:23,Energy-Aware A*,2,2,1,1,0.0,64.0,0.0,0.0,0,0
2026-01-06 09:42:23,Energy-Aware A*,2,2,1,2,4.0,16.0,0.25,25.0,1,0
2026-01-06 09:42:23,Energy-Aware A*,2,2,1,3,0.0,16.0,0.0,0.0,0,0
2026-01-06 09:42:23,Energy-Aware A*,2,2,1,4,0.0,16.0,0.0,0.0,0,0
2026-01-06 09:42:23,Energy-Aware A*,2,2,1,5,4.0,16.0,0.25,25.0,1,0
2026-01-06 09:42:23,Energy-Aware A*,2,2,1,6,4.0,64.0,0.0625,6.25,2,0
2026-01-06 09:42:23,Energy-Aware A*,2,2,1,7,0.0,16.0,0.0,0.0,0,0
2026-01-06 09:42:23,Energy-Aware A*,2,2,1,8,0.0,16.0,0.0,0.0,0,0
2026-01-06 09:42:23,Energy-Aware A*,2,2,1,9,0.0,16.0,0.0,0.0,0,0
2026-01-06 09:42:23,Energy-Aware A*,2,2,1,10,0.0,16.0,0.0,0.0,0,0
2026-01-06 09:42:23,Energy-Aware A*,2,2,1,11,0.0,64.0,0.0,0.0,0,0
2026-01-06 09:42:23,Energy-Aware A*,2,2,1,12,0.0,16.0,0.0,0.0,0,0
2026-01-06 09:42:23,MILP_Gurobi,2,2,1,1,4.0,64.0,0.0625,6.25,2,0
2026-01-06 09:42:23,MILP_Gurobi,2,2,1,2,0.0,16.0,0.0,0.0,0,0
2026-01-06 09:42:23,MILP_Gurobi,2,2,1,3,0.0,16.0,0.0,0.0,0,0
2026-01-06 09:42:23,MILP_Gurobi,2,2,1,4,0.0,16.0,0.0,0.0,0,0
2026-01-06 09:42:23,MILP_Gurobi,2,2,1,5,0.0,16.0,0.0,0.0,0,0
2026-01-06 09:42:23,MILP_Gurobi,2,2,1,6,8.0,64.0,0.125,12.5,2,0
2026-01-06 09:42:23,MILP_Gurobi,2,2,1,7,0.0,16.0,0.0,0.0,0,0
2026-01-06 09:42:23,MILP_Gurobi,2,2,1,8,0.0,16.0,0.0,0.0,0,0
2026-01-06 09:42:23,MILP_Gurobi,2,2,1,9,0.0,16.0,0.0,0.0,0,0
2026-01-06 09:42:23,MILP_Gurobi,2,2,1,10,0.0,16.0,0.0,0.0,0,0
2026-01-06 09:42:23,MILP_Gurobi,2,2,1,11,0.0,64.0,0.0,0.0,0,0
2026-01-06 09:42:23,MILP_Gurobi,2,2,1,12,0.0,16.0,0.0,0.0,0,0
2026-01-06 09:42:26,A*,3,2,1,1,0.0,64.0,0.0,0.0,0,0
2026-01-06 09:42:26,A*,3,2,1,2,4.0,16.0,0.25,25.0,1,0
2026-01-06 09:42:26,A*,3,2,1,3,0.0,16.0,0.0,0.0,0,0
2026-01-06 09:42:26,A*,3,2,1,4,0.0,16.0,0.0,0.0,0,0
2026-01-06 09:42:26,A*,3,2,1,5,4.0,16.0,0.25,25.0,1,0
2026-01-06 09:42:26,A*,3,2,1,6,6.0,64.0,0.09375,9.375,3,0
2026-01-06 09:42:26,A*,3,2,1,7,4.0,16.0,0.25,25.0,1,0
2026-01-06 09:42:26,A*,3,2,1,8,0.0,16.0,0.0,0.0,0,0
2026-01-06 09:42:26,A*,3,2,1,9,0.0,16.0,0.0,0.0,0,0
2026-01-06 09:42:26,A*,3,2,1,10,0.0,16.0,0.0,0.0,0,0
2026-01-06 09:42:26,A*,3,2,1,11,0.0,64.0,0.0,0.0,0,0
2026-01-06 09:42:26,A*,3,2,1,12,0.0,16.0,0.0,0.0,0,0
2026-01-06 09:42:26,ABO,3,2,1,1,12.0,64.0,0.1875,18.75,3,0
2026-01-06 09:42:26,ABO,3,2,1,2,6.0,16.0,0.375,37.5,3,0
2026-01-06 09:42:26,ABO,3,2,1,3,0.0,16.0,0.0,0.0,0,0
2026-01-06 09:42:26,ABO,3,2,1,4,0.0,16.0,0.0,0.0,0,0
2026-01-06 09:42:26,ABO,3,2,1,5,0.0,16.0,0.0,0.0,0,0
2026-01-06 09:42:26,ABO,3,2,1,6,0.0,64.0,0.0,0.0,0,0
2026-01-06 09:42:26,ABO,3,2,1,7,0.0,16.0,0.0,0.0,0,0
2026-01-06 09:42:26,ABO,3,2,1,8,0.0,16.0,0.0,0.0,0,0
2026-01-06 09:42:26,ABO,3,2,1,9,0.0,16.0,0.0,0.0,0,0
2026-01-06 09:42:26,ABO,3,2,1,10,0.0,16.0,0.0,0.0,0,0
2026-01-06 09:42:26,ABO,3,2,1,11,0.0,64.0,0.0,0.0,0,0
2026-01-06 09:42:26,ABO,3,2,1,12,0.0,16.0,0.0,0.0,0,0
2026-01-06 09:42:26,FABO,3,2,1,1,4.0,64.0,0.0625,6.25,1,0
2026-01-06 09:42:26,FABO,3,2,1,2,2.0,16.0,0.125,12.5,1,0
2026-01-06 09:42:26,FABO,3,2,1,3,0.0,16.0,0.0,0.0,0,0
2026-01-06 09:42:26,FABO,3,2,1,4,4.0,16.0,0.25,25.0,1,0
2026-01-06 09:42:26,FABO,3,2,1,5,2.0,16.0,0.125,12.5,1,0
2026-01-06 09:42:26,FABO,3,2,1,6,4.0,64.0,0.0625,6.25,1,0
2026-01-06 09:42:26,FABO,3,2,1,7,2.0,16.0,0.125,12.5,1,0
2026-01-06 09:42:26,FABO,3,2,1,8,0.0,16.0,0.0,0.0,0,0
2026-01-06 09:42:26,FABO,3,2,1,9,0.0,16.0,0.0,0.0,0,0
2026-01-06 09:42:26,FABO,3,2,1,10,0.0,16.0,0.0,0.0,0,0
2026-01-06 09:42:26,FABO,3,2,1,11,0.0,64.0,0.0,0.0,0,0
2026-01-06 09:42:26,FABO,3,2,1,12,0.0,16.0,0.0,0.0,0,0
2026-01-06 09:42:26,Best Fit,3,2,1,1,0.0,64.0,0.0,0.0,0,0
2026-01-06 09:42:26,Best Fit,3,2,1,2,12.0,16.0,0.75,75.0,3,0
2026-01-06 09:42:26,Best Fit,3,2,1,3,0.0,16.0,0.0,0.0,0,0
2026-01-06 09:42:26,Best Fit,3,2,1,4,0.0,16.0,0.0,0.0,0,0
2026-01-06 09:42:26,Best Fit,3,2,1,5,0.0,16.0,0.0,0.0,0,0
2026-01-06 09:42:26,Best Fit,3,2,1,6,6.0,64.0,0.09375,9.375,3,0
2026-01-06 09:42:26,Best Fit,3,2,1,7,0.0,16.0,0.0,0.0,0,0
2026-01-06 09:42:26,Best Fit,3,2,1,8,0.0,16.0,0.0,0.0,0,0
2026-01-06 09:42:26,Best Fit,3,2,1,9,0.0,16.0,0.0,0.0,0,0
2026-01-06 09:42:26,Best Fit,3,2,1,10,0.0,16.0,0.0,0.0,0,0
2026-01-06 09:42:26,Best Fit,3,2,1,11,0.0,64.0,0.0,0.0,0,0
2026-01-06 09:42:26,Best Fit,3,2,1,12,0.0,16.0,0.0,0.0,0,0
2026-01-06 09:42:26,First Fit,3,2,1,1,6.0,64.0,0.09375,9.375,3,0
2026-01-06 09:42:26,First Fit,3,2,1,2,12.0,16.0,0.75,75.0,3,0
2026-01-06 09:42:26,First Fit,3,2,1,3,0.0,16.0,0.0,0.0,0,0
2026-01-06 09:42:26,First Fit,3,2,1,4,0.0,16.0,0.0,0.0,0,0
2026-01-06 09:42:26,First Fit,3,2,1,5,0.0,16.0,0.0,0.0,0,0
2026-01-06 09:42:26,First Fit,3,2,1,6,0.0,64.0,0.0,0.0,0,0
