timestamp,method,num_slices,num_vnfs_per_slice,seed,u,v,bw_used,bw_capacity,bw_utilization
2026-06-04 12:13:40,A*,4,2,1,3,1,35.0,250.0,0.14
2026-06-04 12:13:40,A*,4,2,1,10,11,30.0,500.0,0.06
2026-06-04 12:13:40,A*,4,2,1,2,6,20.0,500.0,0.04
2026-06-04 12:13:40,A*,4,2,1,5,6,25.0,500.0,0.05
2026-06-04 12:13:40,ABO,4,2,1,11,8,35.0,1000.0,0.035
2026-06-04 12:13:40,ABO,4,2,1,10,7,30.0,1000.0,0.03
2026-06-04 12:13:40,ABO,4,2,1,2,6,20.0,500.0,0.04
2026-06-04 12:13:40,ABO,4,2,1,6,7,20.0,500.0,0.04
2026-06-04 12:13:40,ABO,4,2,1,5,8,25.0,1000.0,0.025
2026-06-04 12:13:40,FABO,4,2,1,3,11,35.0,500.0,0.07
2026-06-04 12:13:40,FABO,4,2,1,10,7,30.0,1000.0,0.03
2026-06-04 12:13:40,FABO,4,2,1,2,1,20.0,1000.0,0.02
2026-06-04 12:13:40,FABO,4,2,1,5,8,25.0,1000.0,0.025
2026-06-04 12:13:40,Best Fit,4,2,1,3,4,110.0,500.0,0.22
2026-06-04 12:13:40,First Fit,4,2,1,1,2,110.0,1000.0,0.11
2026-06-04 12:13:40,Energy-Aware A*,4,2,1,3,11,35.0,500.0,0.07
2026-06-04 12:13:40,Energy-Aware A*,4,2,1,11,3,30.0,500.0,0.06
2026-06-04 12:13:40,Energy-Aware A*,4,2,1,2,1,20.0,1000.0,0.02
2026-06-04 12:13:40,Energy-Aware A*,4,2,1,5,8,25.0,1000.0,0.025
2026-06-04 12:13:40,Energy-Aware A*,4,2,1,8,11,25.0,1000.0,0.025
2026-06-04 12:13:40,MILP_Gurobi,4,2,1,1,2,85.0,1000.0,0.085
2026-06-04 12:13:40,MILP_Gurobi,4,2,1,2,1,25.0,1000.0,0.025
