slice,accepted,g_cost
1,True,15.0
2,True,15.0
3,True,15.0
4,True,15.0
5,True,15.0
6,True,15.0
7,True,15.0
8,True,15.0
9,True,15.0
10,True,15.0
11,True,15.0
12,True,15.0
13,True,15.0
14,True,15.0
15,True,15.0
16,True,15.0
17,True,15.0
18,True,15.0
19,True,15.0
20,True,15.0
