Method,Slices Accepted,Total Bandwidth,Total Latency,Total Energy
A*,20,1800.0,200.0,8.91720397249809
ABO,20,1800.0,300.0,7.264415584415584
FABO,2,900.0,210.0,15.142822765469827
A* Energy Aware,20,2850.0,305.0,13.937291825821239
First Fit,20,13300.0,2190.0,22.784545454545455
Best Fit,4,2340.0,350.0,29.766000000000005
MILP (Gurobi),20,2800.0,300.0,8.072207792207791
