slice,accepted,g_cost,nodes_used,links_used
1,True,3.0,3,3
2,True,3.0,3,3
3,True,3.0,3,3
4,True,3.0,3,3
5,True,3.0,3,3
6,True,3.0,3,3
7,True,3.0,3,2
8,True,3.0,3,3
9,True,3.0,3,3
10,True,3.0,3,2
11,True,3.0,3,3
12,True,3.0,3,3
13,True,3.0,3,2
14,True,3.0,3,3
15,True,3.0,3,3
16,True,3.0,3,4
17,True,3.0,3,3
18,True,3.0,3,5
19,True,3.0,3,2
20,True,3.0,3,5
