timestamp,num_slices,num_vnfs_per_slice,seed,method,accepted,total_energy,total_bandwidth,total_latency,runtime_sec
2025-11-12 09:29:39,12,3,1,ABO,12,35.228750000000005,1230.0,41.0,17.049328804016113
2025-11-12 09:29:39,12,3,1,FABO,12,36.235,1280.0,42.0,15.054901599884033
2025-11-12 09:29:39,12,3,1,Best Fit,12,36.88,1440.0,54.0,0.005129575729370117
2025-11-12 09:29:39,12,3,1,First Fit,12,30.646250000000006,1700.0,62.0,0.0035347938537597656
2025-11-12 09:29:39,12,3,1,Energy-Aware A*,12,28.282500000000002,1080.0,26.0,0.6943185329437256
2025-11-12 09:29:55,18,2,1,A*,18,14.617500000000001,960.0,24.0,0.06488513946533203
2025-11-12 09:29:55,18,2,1,ABO,18,17.272499999999997,720.0,36.0,7.295339107513428
2025-11-12 09:29:55,18,2,1,FABO,18,22.834999999999994,720.0,36.0,8.486350297927856
2025-11-12 09:29:55,18,2,1,Best Fit,18,31.029999999999987,1040.0,54.0,0.0051343441009521484
2025-11-12 09:29:55,18,2,1,First Fit,18,17.980000000000004,1360.0,64.0,0.00430607795715332
2025-11-12 09:29:55,18,2,1,Energy-Aware A*,18,14.617500000000001,960.0,24.0,0.20569968223571777
2025-11-12 09:30:33,18,3,1,A*,18,36.148750000000014,1960.0,44.0,0.2618865966796875
2025-11-12 09:30:33,18,3,1,ABO,18,52.37500000000001,2090.0,77.0,19.251304864883423
2025-11-12 09:30:33,18,3,1,FABO,18,50.16374999999999,2090.0,74.0,18.342101097106934
2025-11-12 09:30:33,18,3,1,Best Fit,18,50.00499999999999,2750.0,95.0,0.007020711898803711
2025-11-12 09:30:33,18,3,1,First Fit,18,43.59125,2830.0,87.0,0.006006002426147461
2025-11-12 09:30:33,18,3,1,Energy-Aware A*,18,39.59000000000001,1950.0,46.0,0.8815886974334717
2025-11-12 09:30:51,20,2,1,A*,20,15.045000000000002,1120.0,28.0,0.06831192970275879
2025-11-12 09:30:51,20,2,1,ABO,20,20.102499999999996,800.0,40.0,7.687278509140015
2025-11-12 09:30:51,20,2,1,FABO,20,24.70499999999999,800.0,40.0,9.289510011672974
2025-11-12 09:30:51,20,2,1,Best Fit,20,31.93999999999999,1120.0,60.0,0.007407665252685547
2025-11-12 09:30:51,20,2,1,First Fit,20,18.755000000000003,1600.0,72.0,0.004593610763549805
2025-11-12 09:30:51,20,2,1,Energy-Aware A*,20,15.045000000000002,1120.0,28.0,0.2374413013458252
2025-11-12 09:31:30,20,3,1,A*,20,37.36375,2320.0,52.0,0.27016758918762207
2025-11-12 09:31:30,20,3,1,ABO,20,54.57000000000001,2630.0,95.0,19.500364542007446
2025-11-12 09:31:30,20,3,1,FABO,20,56.57,2600.0,92.0,19.00418186187744
2025-11-12 09:31:30,20,3,1,Best Fit,20,51.239999999999995,3160.0,106.0,0.006779909133911133
2025-11-12 09:31:30,20,3,1,First Fit,20,47.06750000000001,3270.0,97.0,0.007621288299560547
2025-11-12 09:31:30,20,3,1,Energy-Aware A*,20,44.89000000000001,2320.0,58.0,1.03633451461792
