Method,Slices Accepted,Total Bandwidth,Total Latency,Total Energy
A*,15,1520.0,34.0,33.401250000000005
ABO,15,1590.0,56.0,43.32875000000001
FABO,15,1680.0,57.0,44.45249999999999
First Fit,15,2150.0,72.0,38.15375000000001
Best Fit,15,2120.0,76.0,47.3925
MILP (Gurobi),0,0.0,0.0,0.0
