Method,Slices Accepted,Total Bandwidth,Total Latency,Total Energy
A*,10,900.0,20.0,24.8875
ABO,10,1000.0,32.0,27.867500000000003
FABO,10,1050.0,33.0,29.830000000000002
First Fit,10,1340.0,50.0,27.168750000000003
Best Fit,10,1260.0,45.0,35.10999999999999
MILP (Gurobi),10,1800.0,40.0,15.95
