method,num_slices,num_vnfs_per_slice,avg_total_energy,std_total_energy,avg_acceptance_rate,avg_energy_per_accepted_slice,avg_runtime_sec
A*,6,2,9.1675,0.0,1.0,1.5279166666666668,0.053907251358032204
ABO,6,2,4.365,0.0,1.0,0.7275,5.462052822113037
Best Fit,6,2,7.167500000000001,0.0,1.0,1.1945833333333333,0.021803903579711858
Energy-Aware A*,6,2,9.1675,0.0,1.0,1.5279166666666668,0.14834861755371087
FABO,6,2,15.007499999999999,0.0,1.0,2.50125,5.458355379104614
First Fit,6,2,7.167500000000001,0.0,1.0,1.1945833333333333,0.00300107002258296
MILP_Gurobi,6,2,6.762500000000001,0.0,1.0,1.1270833333333334,0.06422581672668452
A*,8,2,9.89,0.0,1.0,1.23625,0.07466964721679684
ABO,8,2,4.82,0.0,1.0,0.6025,7.419634103775024
Best Fit,8,2,7.890000000000001,0.0,1.0,0.9862500000000001,0.0282417774200439
Energy-Aware A*,8,2,9.89,0.0,1.0,1.23625,0.2203383922576904
FABO,8,2,17.542499999999997,0.0,1.0,2.1928124999999996,7.291202640533447
First Fit,8,2,8.05,0.0,1.0,1.00625,0.00389919281005856
MILP_Gurobi,8,2,7.35,0.0,1.0,0.91875,0.05533189773559564
A*,10,2,10.6125,0.0,1.0,1.06125,0.09285159111022946
ABO,10,2,10.5425,0.0,1.0,1.0542500000000001,8.749601364135742
Best Fit,10,2,10.6125,0.0,1.0,1.06125,0.0342037677764892
Energy-Aware A*,10,2,10.6125,0.0,1.0,1.06125,0.248118782043457
FABO,10,2,20.184999999999995,0.0,1.0,2.0184999999999995,9.195944452285767
First Fit,10,2,10.8525,0.0,1.0,1.0852499999999998,0.00481781959533686
MILP_Gurobi,10,2,7.9375,0.0,1.0,0.79375,0.053740596771240226
A*,12,2,11.335,0.0,1.0,0.9445833333333334,0.10460038185119624
ABO,12,2,13.372499999999999,0.0,1.0,1.1143750000000001,10.375872468948364
Best Fit,12,2,11.335,0.0,1.0,0.9445833333333334,0.04126954078674312
Energy-Aware A*,12,2,11.335,0.0,1.0,0.9445833333333334,0.27866144180297847
FABO,12,2,20.72,0.0,1.0,1.7266666666666666,11.053364992141724
First Fit,12,2,11.655,0.0,1.0,0.9712499999999998,0.00578384399414058
MILP_Gurobi,12,2,8.524999999999999,0.0,1.0,0.7104166666666666,0.057754373550414996
A*,16,2,14.190000000000001,0.0,1.0,0.8868750000000001,0.1443386077880859
ABO,16,2,16.737499999999997,0.0,1.0,1.0460937499999998,13.284445142745971
Best Fit,16,2,14.190000000000001,0.0,1.0,0.8868750000000001,0.05123062133789058
