Method,Slices Accepted,Total Bandwidth,Total Latency,Total Energy
A*,6,2040.0,21.0,20.717499999999994
ABO,6,2040.0,21.0,20.717499999999994
FABO,6,2040.0,21.0,20.717499999999994
First Fit,6,2320.0,36.0,22.5125
Best Fit,5,2180.0,29.0,25.400000000000002
MILP (Gurobi),6,2175.0,15.0,20.537499999999998
