timestamp          , num_slices, num_vnfs_per_slice, total_vnfs, seed, entry_node, entry_nodes_used                                                                                                                                   , method         , accepted, total_energy      , total_bandwidth, total_latency, runtime_sec
2026-04-10 09:38:00,          4,                  2,          8,    1,           , "3,10,2,5"                                                                                                                                         , A*             ,        4, 11.462499999999999,            60.0,           4.0,    0.010653495788574219
2026-04-10 09:38:00,          4,                  2,          8,    1,           , "3,10,2,5"                                                                                                                                         , ABO            ,        4, 12.588125000000002,            75.0,           6.0,    0.0019545555114746094
2026-04-10 09:38:00,          4,                  2,          8,    1,           , "3,10,2,5"                                                                                                                                         , FABO           ,        4, 13.464375         ,            60.0,           5.0,    0.0025899410247802734
2026-04-10 09:38:00,          4,                  2,          8,    1,           , "3,10,2,5"                                                                                                                                         , Best Fit       ,        4,  8.739999999999998,           120.0,           8.0,    0.01108860969543457
2026-04-10 09:38:00,          4,                  2,          8,    1,           , "3,10,2,5"                                                                                                                                         , First Fit      ,        4,  9.6425           ,           120.0,          12.0,    0.0013630390167236328
2026-04-10 09:38:00,          4,                  2,          8,    1,           , "3,10,2,5"                                                                                                                                         , Energy-Aware A*,        4, 11.816875         ,           120.0,          16.0,    0.012326240539550781
2026-04-10 09:38:00,          4,                  2,          8,    1,           , "3,10,2,5"                                                                                                                                         , MILP_Gurobi    ,        4,  8.582499999999998,           105.0,           9.0,    0.9210543632507324
2026-04-10 09:38:01,          8,                  2,         16,    1,           , "3,10,2,5,2,8,8,8"                                                                                                                                 , A*             ,        8, 14.834999999999999,           120.0,           8.0,    0.02270364761352539
2026-04-10 09:38:01,          8,                  2,         16,    1,           , "3,10,2,5,2,8,8,8"                                                                                                                                 , ABO            ,        8, 18.14625          ,           135.0,          11.0,    0.003635406494140625
2026-04-10 09:38:01,          8,                  2,         16,    1,           , "3,10,2,5,2,8,8,8"                                                                                                                                 , FABO           ,        8, 22.975625000000004,           120.0,          17.0,    0.0061337947845458984
2026-04-10 09:38:01,          8,                  2,         16,    1,           , "3,10,2,5,2,8,8,8"                                                                                                                                 , Best Fit       ,        8, 10.524999999999999,           240.0,          19.0,    0.023468732833862305
2026-04-10 09:38:01,          8,                  2,         16,    1,           , "3,10,2,5,2,8,8,8"                                                                                                                                 , First Fit      ,        8, 11.344999999999999,           240.0,          26.0,    0.002512216567993164
2026-04-10 09:38:01,          8,                  2,         16,    1,           , "3,10,2,5,2,8,8,8"                                                                                                                                 , Energy-Aware A*,        8, 12.451875         ,           240.0,          30.0,    0.2903006076812744
2026-04-10 09:38:01,          8,                  2,         16,    1,           , "3,10,2,5,2,8,8,8"                                                                                                                                 , MILP_Gurobi    ,        8,  9.97             ,           195.0,          17.0,    3.700725793838501
2026-04-10 09:38:05,         16,                  2,         32,    1,           , "3,10,2,5,2,8,8,8,11,7,4,2,8,1,7,7"                                                                                                                , A*             ,       16, 21.746875000000003,           240.0,          16.0,    0.041132211685180664
2026-04-10 09:38:05,         16,                  2,         32,    1,           , "3,10,2,5,2,8,8,8,11,7,4,2,8,1,7,7"                                                                                                                , ABO            ,       16, 24.491250000000008,           315.0,          27.0,    0.005840301513671875
2026-04-10 09:38:05,         16,                  2,         32,    1,           , "3,10,2,5,2,8,8,8,11,7,4,2,8,1,7,7"                                                                                                                , FABO           ,       16, 30.919375000000013,           240.0,          35.0,    0.010645389556884766
