timestamp          , method         , num_slices, num_vnfs_per_slice, seed, node, cpu_used, cpu_capacity, cpu_utilization, num_hosted_vnfs, num_unknown_cpu_vnfs
2026-01-19 09:04:39, ABO            ,         16,                  2,    1,    6,      0.0,         64.0,        0.0     ,               0,                    0
2026-01-19 09:04:39, ABO            ,         16,                  2,    1,    7,      0.0,         16.0,        0.0     ,               0,                    0
2026-01-19 09:04:39, ABO            ,         16,                  2,    1,    8,      0.0,         16.0,        0.0     ,               0,                    0
2026-01-19 09:04:39, ABO            ,         16,                  2,    1,    9,      0.0,         16.0,        0.0     ,               0,                    0
2026-01-19 09:04:39, ABO            ,         16,                  2,    1,   10,      0.0,         16.0,        0.0     ,               0,                    0
2026-01-19 09:04:39, ABO            ,         16,                  2,    1,   11,      5.0,         64.0,        0.078125,               5,                    0
2026-01-19 09:04:39, ABO            ,         16,                  2,    1,   12,      5.0,         16.0,        0.3125  ,               5,                    0
2026-01-19 09:04:39, FABO           ,         16,                  2,    1,    1,      0.0,         64.0,        0.0     ,               0,                    0
2026-01-19 09:04:39, FABO           ,         16,                  2,    1,    2,      0.0,         16.0,        0.0     ,               0,                    0
2026-01-19 09:04:39, FABO           ,         16,                  2,    1,    3,      6.0,         16.0,        0.375   ,               6,                    0
2026-01-19 09:04:39, FABO           ,         16,                  2,    1,    4,      3.0,         16.0,        0.1875  ,               3,                    0
2026-01-19 09:04:39, FABO           ,         16,                  2,    1,    5,      2.0,         16.0,        0.125   ,               2,                    0
2026-01-19 09:04:39, FABO           ,         16,                  2,    1,    6,      0.0,         64.0,        0.0     ,               0,                    0
2026-01-19 09:04:39, FABO           ,         16,                  2,    1,    7,      3.0,         16.0,        0.1875  ,               3,                    0
2026-01-19 09:04:39, FABO           ,         16,                  2,    1,    8,      5.0,         16.0,        0.3125  ,               5,                    0
2026-01-19 09:04:39, FABO           ,         16,                  2,    1,    9,      2.0,         16.0,        0.125   ,               2,                    0
2026-01-19 09:04:39, FABO           ,         16,                  2,    1,   10,      5.0,         16.0,        0.3125  ,               5,                    0
2026-01-19 09:04:39, FABO           ,         16,                  2,    1,   11,      4.0,         64.0,        0.0625  ,               4,                    0
2026-01-19 09:04:39, FABO           ,         16,                  2,    1,   12,      2.0,         16.0,        0.125   ,               2,                    0
